smooth_mode,aug_mode,seed,fold_idx,n_train,n_train_aug,n_test,epochs_run,fold_time_s,z_scale,macro_f1,weighted_f1,accuracy,f1_anger,f1_disgust,f1_fear,f1_happiness,f1_sadness,f1_surprise
F2,G3,0,9,279,837,30,24,93.51,0.267994,0.666056166056166,0.7374847374847374,0.7333333333333333,0.2857142857142857,0.6153846153846154,0.5714285714285714,1.0,0.6666666666666666,0.8571428571428571
F2,G3,1,0,278,834,31,50,180.69,0.266616,0.6607744107744108,0.8139459107201042,0.8387096774193549,0.6666666666666666,0.9090909090909091,0.5,0.8888888888888888,0.0,1.0
F2,G3,1,1,278,834,31,50,179.66,0.267395,0.8123015873015874,0.8399385560675883,0.8387096774193549,0.6666666666666666,0.8,0.8571428571428571,0.8,0.75,1.0
F2,G3,1,2,278,834,31,38,139.79,0.266618,0.6790849673202614,0.8127767235926628,0.8064516129032258,0.0,0.8,0.6666666666666666,0.9411764705882353,0.6666666666666666,1.0
F2,G3,1,3,278,834,31,38,139.69,0.267193,0.8578643578643579,0.8685937718195783,0.8709677419354839,0.6666666666666666,0.9090909090909091,1.0,1.0,0.5714285714285714,1.0
F2,G3,1,4,278,834,31,50,179.23,0.266906,0.8763532763532763,0.8581196581196582,0.8709677419354839,0.6,0.8888888888888888,1.0,1.0,0.7692307692307693,1.0
F2,G3,1,5,278,834,31,50,180.02,0.266237,0.7673881673881673,0.8429269655076107,0.8387096774193549,0.3333333333333333,0.9090909090909091,0.8571428571428571,0.9333333333333333,0.5714285714285714,1.0
F2,G3,1,6,278,834,31,25,96.41,0.267193,0.6925925925925926,0.8265232974910395,0.8064516129032258,0.8,0.6666666666666666,0.8888888888888888,0.8,0.0,1.0
F2,G3,1,7,278,834,31,38,140.02,0.267524,0.7569444444444443,0.8276881720430108,0.8387096774193549,0.6,0.875,0.6666666666666666,1.0,0.4,1.0
F2,G3,1,8,278,834,31,38,139.32,0.266616,0.9258685930512556,0.9355837411365225,0.9354838709677419,0.6666666666666666,0.9411764705882353,1.0,1.0,1.0,0.9473684210526315
F2,G3,1,9,279,837,30,50,185.9,0.267994,0.961038961038961,0.9658008658008658,0.9666666666666667,0.8571428571428571,0.9090909090909091,1.0,1.0,1.0,1.0
F2,G3,2,0,278,834,31,32,124.76,0.266616,0.9107744107744108,0.9322254806125773,0.9354838709677419,1.0,0.9090909090909091,0.6666666666666666,0.8888888888888888,1.0,1.0
F2,G3,2,1,278,834,31,45,170.08,0.267395,0.7967532467532467,0.8354140483172742,0.8387096774193549,0.5714285714285714,0.8333333333333334,0.8,0.9090909090909091,0.6666666666666666,1.0
F2,G3,2,2,278,834,31,44,163.37,0.266618,0.7333333333333334,0.8580645161290323,0.8709677419354839,0.0,0.8,0.8,1.0,0.8,1.0
F2,G3,2,3,278,834,31,39,148.12,0.267193,0.7777777777777778,0.7956989247311829,0.8064516129032258,0.5,0.8333333333333334,1.0,1.0,0.3333333333333333,1.0
F2,G3,2,4,278,834,31,18,76.36,0.266906,0.7851851851851851,0.8021505376344086,0.8064516129032258,0.6,0.8888888888888888,0.6666666666666666,0.8888888888888888,0.6666666666666666,1.0
F2,G3,2,5,278,834,31,50,185.42,0.266237,0.7626262626262627,0.8340175953079177,0.8387096774193549,0.4,0.9090909090909091,0.6666666666666666,0.9333333333333333,0.6666666666666666,1.0
F2,G3,2,6,278,834,31,50,189.01,0.267193,0.7943722943722943,0.9501466275659823,0.9354838709677419,0.9090909090909091,0.8571428571428571,1.0,1.0,0.0,1.0
F2,G3,2,7,278,834,31,41,153.7,0.267524,0.7886904761904762,0.8150921658986177,0.8387096774193549,0.2857142857142857,0.875,1.0,1.0,0.5714285714285714,1.0
F2,G3,2,8,278,834,31,50,181.03,0.266616,0.8541910331384016,0.8676098849273722,0.8709677419354839,0.4,0.7777777777777778,1.0,1.0,1.0,0.9473684210526315
F2,G3,2,9,279,837,30,50,175.45,0.267994,0.8679738562091504,0.893202614379085,0.9,0.6666666666666666,0.8,1.0,1.0,0.8,0.9411764705882353
